[2017-10-21 11:42:14,832] [DEBUG] [PRODUCER-qiyi]page:1:crawling...http://api.2m.vc/caij/inc/qiyi.php?ac=videolist&pg=1&h=
[2017-10-21 11:42:15,224] [WARNING] [CONSUMER-1][国产剧]新包青天...未绑定分类，跳过。
[2017-10-21 11:42:15,226] [WARNING] [CONSUMER-2][国产剧]追鱼传奇...未绑定分类，跳过。
[2017-10-21 11:42:15,227] [WARNING] [CONSUMER-3][国产剧]射雕英雄传...未绑定分类，跳过。
[2017-10-21 11:42:15,230] [WARNING] [CONSUMER-4][国产剧]蜀山战纪剑侠传奇...未绑定分类，跳过。
[2017-10-21 11:42:15,230] [WARNING] [CONSUMER-5][国产剧]蜀山战纪第1季...未绑定分类，跳过。
[2017-10-21 11:42:15,233] [WARNING] [CONSUMER-6][国产剧]蜀山战纪第5季...未绑定分类，跳过。
[2017-10-21 11:42:15,233] [WARNING] [CONSUMER-7][国产剧]太子快跑...未绑定分类，跳过。
[2017-10-21 11:42:15,234] [WARNING] [CONSUMER-8][国产剧]广府太极传奇...未绑定分类，跳过。
[2017-10-21 11:42:15,236] [WARNING] [CONSUMER-9][国产剧]隋唐英雄传...未绑定分类，跳过。
[2017-10-21 11:42:15,236] [WARNING] [CONSUMER-10][国产剧]薛仁贵传奇...未绑定分类，跳过。
[2017-10-21 11:42:15,236] [WARNING] [CONSUMER-11][国产剧]蜀山战纪第4季...未绑定分类，跳过。
[2017-10-21 11:42:15,237] [WARNING] [CONSUMER-12][国产剧]大醉侠...未绑定分类，跳过。
[2017-10-21 11:42:15,237] [WARNING] [CONSUMER-13][国产剧]走西口...未绑定分类，跳过。
[2017-10-21 11:42:15,239] [WARNING] [CONSUMER-14][国产剧]少林寺传奇藏经阁...未绑定分类，跳过。
[2017-10-21 11:42:15,239] [WARNING] [CONSUMER-15][国产剧]石敢当之雄峙天东...未绑定分类，跳过。
[2017-10-21 11:42:15,351] [INFO] [CONSUMER-16][恐怖片]诡眼...新增加播放组(qiyi) 入库成功,
[2017-10-21 11:42:15,351] [WARNING] [CONSUMER-17][国产剧]婚后五年...未绑定分类，跳过。
[2017-10-21 11:42:15,352] [WARNING] [CONSUMER-18][国产剧]灵魂摆渡3...未绑定分类，跳过。
[2017-10-21 11:42:15,355] [INFO] [CONSUMER-19][剧情片]天才少女...新加入库，成功。
[2017-10-21 11:42:15,357] [WARNING] [CONSUMER-20][喜剧片]泰迪熊2...未绑定分类，跳过。
[2017-10-21 11:42:15,357] [DEBUG] [PRODUCER-qiyi]page:1:crawling finished.
[2017-10-21 11:42:15,357] [INFO] [PRODUCER-qiyi]采集次数:20,新增入库:1条,新增加播放组:1条,更新播放组:0条。
[2017-10-21 11:42:15,358] [DEBUG] [PRODUCER-qiyi]page:2:crawling...http://api.2m.vc/caij/inc/qiyi.php?ac=videolist&pg=2&h=
[2017-10-21 11:42:15,782] [WARNING] [CONSUMER-21][港台剧]终极少女...未绑定分类，跳过。
[2017-10-21 11:42:15,786] [INFO] [CONSUMER-22][剧情片]隧道...新加入库，成功。
[2017-10-21 11:42:15,789] [INFO] [CONSUMER-23][剧情片]战前童年...新加入库，成功。
[2017-10-21 11:42:15,789] [WARNING] [CONSUMER-24][国产剧]我不是妖怪...未绑定分类，跳过。
[2017-10-21 11:42:15,790] [WARNING] [CONSUMER-25][喜剧片]家长指导...未绑定分类，跳过。
[2017-10-21 11:42:15,790] [WARNING] [CONSUMER-26][喜剧片]尴尬时刻...未绑定分类，跳过。
[2017-10-21 11:42:15,792] [WARNING] [CONSUMER-27][国产剧]都市妖奇谈...未绑定分类，跳过。
[2017-10-21 11:42:15,792] [WARNING] [CONSUMER-28][国产剧]涩世纪传说...未绑定分类，跳过。
[2017-10-21 11:42:15,792] [WARNING] [CONSUMER-29][国产剧]将界...未绑定分类，跳过。
[2017-10-21 11:42:15,796] [INFO] [CONSUMER-30][恐怖片]恶之教典...新加入库，成功。
[2017-10-21 11:42:15,796] [WARNING] [CONSUMER-31][国产剧]欢天喜地对亲家...未绑定分类，跳过。
[2017-10-21 11:42:15,799] [WARNING] [CONSUMER-32][欧美剧]窥探重生第1季...未绑定分类，跳过。
[2017-10-21 11:42:15,799] [WARNING] [CONSUMER-33][国产剧]高科技少女喵...未绑定分类，跳过。
[2017-10-21 11:42:15,799] [WARNING] [CONSUMER-34][国产剧]超能快递侠...未绑定分类，跳过。
[2017-10-21 11:42:15,799] [WARNING] [CONSUMER-35][国产剧]你好外星人...未绑定分类，跳过。
[2017-10-21 11:42:15,801] [WARNING] [CONSUMER-36][国产剧]天地传说之宝莲灯...未绑定分类，跳过。
[2017-10-21 11:42:15,802] [WARNING] [CONSUMER-37][欧美剧]少数派报告第1季...未绑定分类，跳过。
[2017-10-21 11:42:15,802] [WARNING] [CONSUMER-38][国产剧]末日使徒之灰烬...未绑定分类，跳过。
[2017-10-21 11:42:15,802] [WARNING] [CONSUMER-39][欧美剧]编织记忆第1季...未绑定分类，跳过。
[2017-10-21 11:42:15,802] [WARNING] [CONSUMER-40][国产剧]假如我有超能力...未绑定分类，跳过。
[2017-10-21 11:42:15,803] [DEBUG] [PRODUCER-qiyi]page:2:crawling finished.
[2017-10-21 11:42:15,805] [INFO] [PRODUCER-qiyi]采集次数:40,新增入库:4条,新增加播放组:1条,更新播放组:0条。
[2017-10-21 11:42:15,805] [DEBUG] [PRODUCER-qiyi]page:3:crawling...http://api.2m.vc/caij/inc/qiyi.php?ac=videolist&pg=3&h=
[2017-10-21 11:42:16,278] [WARNING] [CONSUMER-41][欧美剧]异形侵略...未绑定分类，跳过。
[2017-10-21 11:42:16,279] [WARNING] [CONSUMER-42][欧美剧]断头谷第2季...未绑定分类，跳过。
[2017-10-21 11:42:16,280] [WARNING] [CONSUMER-43][国产剧]梦境规划局...未绑定分类，跳过。
